Name,URI,Region GSS code,Period,Sales volume,Reporting period,Average price All property types,Average price Detached houses,Average price Semi-detached houses,Average price Terraced houses,Average price Flats and maisonettes,Pivotable date
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2008-10,5225,monthly,266999,506702,316158,262929,242805,01/10/2008
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2008-11,4078,monthly,258647,493046,308780,257811,233135,01/11/2008
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2008-12,4505,monthly,253881,480437,303686,253948,228422,01/12/2008
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2009-01,3269,monthly,253093,484980,300817,250089,229353,01/01/2009
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2009-02,3251,monthly,249847,465160,296380,247380,226949,01/02/2009
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2009-03,4097,monthly,247264,460766,291834,244007,225466,01/03/2009
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2009-04,4323,monthly,245351,456683,291883,243875,222092,01/04/2009
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2009-05,5011,monthly,249991,462317,295985,248103,227052,01/05/2009
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2009-06,6001,monthly,253596,468537,299623,254191,229061,01/06/2009
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2009-07,7900,monthly,259793,484437,310207,261258,233071,01/07/2009
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2009-08,7548,monthly,262076,491850,314236,263938,234400,01/08/2009
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2009-09,7920,monthly,267501,497220,316791,267705,241515,01/09/2009
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2009-10,8449,monthly,268780,504815,321628,270498,240658,01/10/2009
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2009-11,7962,monthly,266837,501064,318077,270130,238347,01/11/2009
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2009-12,9500,monthly,270118,502617,323927,273328,241063,01/12/2009
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2010-01,6212,monthly,279724,525410,335145,283569,249180,01/01/2010
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2010-02,6312,monthly,278753,524431,335551,282885,247719,01/02/2010
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2010-03,7308,monthly,280472,532768,335940,281836,250903,01/03/2010
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2010-04,7032,monthly,281981,530526,337788,284471,251899,01/04/2010
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2010-05,7106,monthly,281762,532230,337877,285520,250835,01/05/2010
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2010-06,8756,monthly,284541,536235,340019,288347,253666,01/06/2010
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2010-07,9461,monthly,292772,560177,351466,298269,259349,01/07/2010
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2010-08,8570,monthly,290646,552684,352306,295010,257356,01/08/2010
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2010-09,8194,monthly,290093,559284,350133,294941,256612,01/09/2010
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2010-10,7871,monthly,286131,548402,345578,289873,253754,01/10/2010
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2010-11,7663,monthly,282290,545732,343402,284672,250196,01/11/2010
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2010-12,7448,monthly,285353,545247,344640,287916,253763,01/12/2010
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2011-01,5870,monthly,287983,561353,347089,291581,255214,01/01/2011
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2011-02,5796,monthly,285227,556285,343860,286549,253953,01/02/2011
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2011-03,6675,monthly,287092,559907,342214,287434,257165,01/03/2011
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2011-04,6903,monthly,293993,556813,346657,295121,264752,01/04/2011
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2011-05,6460,monthly,284722,539789,342357,286936,254026,01/05/2011
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2011-06,7846,monthly,285906,534579,340812,287950,256336,01/06/2011
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2011-07,8742,monthly,295843,555115,350495,298117,265623,01/07/2011
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2011-08,8998,monthly,294903,558789,354046,299996,261746,01/08/2011
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2011-09,8707,monthly,295358,566622,353417,299513,262610,01/09/2011
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2011-10,7871,monthly,292267,565503,354002,294911,259320,01/10/2011
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2011-11,7956,monthly,291036,559120,348955,291888,260317,01/11/2011
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2011-12,8217,monthly,292284,553602,350948,294428,261000,01/12/2011
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2012-01,6531,monthly,294360,554780,352985,297924,262346,01/01/2012
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2012-02,6659,monthly,292381,569459,354995,297507,257937,01/02/2012
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2012-03,9099,monthly,290379,544127,345599,294550,259216,01/03/2012
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2012-04,5961,monthly,299065,561806,354724,301792,267993,01/04/2012
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2012-05,7374,monthly,304081,570424,361779,308408,271470,01/05/2012
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2012-06,8132,monthly,306823,567821,361738,312798,274239,01/06/2012
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2012-07,8751,monthly,308962,580113,366704,315144,275099,01/07/2012
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2012-08,9073,monthly,310043,582142,368878,316895,275527,01/08/2012
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2012-09,7906,monthly,308469,579776,365664,314230,274948,01/09/2012
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2012-10,8146,monthly,310281,580841,367792,314956,277248,01/10/2012
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2012-11,8626,monthly,308540,579766,366472,313951,275027,01/11/2012
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2012-12,7601,monthly,313744,584430,368743,319691,280600,01/12/2012
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-01,6834,monthly,311364,585417,371472,316619,277251,01/01/2013
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-02,6693,monthly,313550,584924,369428,318273,280689,01/02/2013
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-03,7663,monthly,312289,587252,369862,317191,278831,01/03/2013
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-04,7388,monthly,320921,592752,374400,325254,288624,01/04/2013
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-05,9010,monthly,322324,600796,379979,327099,288559,01/05/2013
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-06,8930,monthly,324518,600375,380448,330385,290694,01/06/2013
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-07,10889,monthly,332988,612056,388303,339351,298764,01/07/2013
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-08,11153,monthly,335743,621017,394860,343054,299890,01/08/2013
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-09,10276,monthly,340494,627915,394236,346089,306464,01/09/2013
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-10,10935,monthly,340045,629328,398386,343921,305736,01/10/2013
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-11,11427,monthly,343749,631279,401464,348311,309270,01/11/2013
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-12,10775,monthly,352028,632546,405661,355889,319009,01/12/2013
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-01,9966,monthly,355830,651986,413770,360184,320787,01/01/2014
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-02,9363,monthly,357876,657774,415632,361192,323086,01/02/2014
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-03,9537,monthly,361400,656427,417649,365214,326778,01/03/2014
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-04,9809,monthly,375337,688122,435644,381773,337738,01/04/2014
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-05,10155,monthly,382705,692487,441186,388249,345723,01/05/2014
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-06,10486,monthly,387182,699099,446329,393924,349362,01/06/2014
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-07,11340,monthly,398737,728491,465103,407975,357492,01/07/2014
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-08,11243,monthly,404754,739313,471552,414689,362768,01/08/2014
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-09,10437,monthly,403670,738828,468585,411840,362757,01/09/2014
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-10,10773,monthly,402300,741040,470849,410173,360746,01/10/2014
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-11,9095,monthly,400803,743115,472027,409211,358450,01/11/2014
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-12,9745,monthly,402898,739606,469349,409482,362322,01/12/2014
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-01,8142,monthly,402847,743471,471904,408951,361840,01/01/2015
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-02,7937,monthly,404773,748417,473702,410966,363574,01/02/2015
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-03,8847,monthly,404706,746670,474072,410639,363615,01/03/2015
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-04,8323,monthly,410445,759614,480438,419154,367469,01/04/2015
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-05,9059,monthly,415817,758190,485444,422193,374213,01/05/2015
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-06,10721,monthly,419474,772089,493081,431687,373769,01/06/2015
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-07,11980,monthly,431644,787783,506181,443661,385416,01/07/2015
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-08,10499,monthly,436152,805864,514997,448942,387978,01/08/2015
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-09,10686,monthly,439729,820565,517030,450734,392127,01/09/2015
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-10,10926,monthly,440484,824799,525228,455397,389400,01/10/2015
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-11,9752,monthly,445485,828661,528318,458454,395612,01/11/2015
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-12,9700,monthly,450053,844884,536465,462912,398893,01/12/2015
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-01,7927,monthly,457466,846956,546758,470317,405793,01/01/2016
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-02,8208,monthly,457759,863896,550400,472651,403745,01/02/2016
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-03,17501,monthly,464647,873391,549954,477329,412842,01/03/2016
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-04,5746,monthly,461068,859832,551600,477313,407094,01/04/2016
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-05,6617,monthly,467485,864839,557920,481745,414351,01/05/2016
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-06,8464,monthly,468120,885121,560281,483455,413275,01/06/2016
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-07,8794,monthly,475530,893103,572688,493363,418347,01/07/2016
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-08,8535,monthly,471957,889075,568552,488355,415648,01/08/2016
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-09,8275,monthly,471767,883706,565376,486660,416967,01/09/2016
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-10,8100,monthly,471008,883336,565977,482452,417532,01/10/2016
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-11,8178,monthly,470854,886553,562093,480836,418660,01/11/2016
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-12,8460,monthly,472374,887005,562272,483479,419937,01/12/2016
