,Area,Year,Value,pct_ch,log_value,logpct_ch
2744,England And Wales,2010,182000,8.029179749870895,12.111761966058932,0.6417465619030338
2924,England And Wales,2011,176000,-3.296703296703296,12.078239274020289,-0.27677799590666297
3104,England And Wales,2012,180000,2.2727272727272707,12.100712129872347,0.18606069429669692
3284,England And Wales,2013,185000,2.777777777777768,12.128111104060462,0.22642447728737913
3464,England And Wales,2014,195000,5.405405405405395,12.180754837545884,0.4340637468912778
3644,England And Wales,2015,208000,6.666666666666665,12.245293358683455,0.5298400796856839
3824,England And Wales,2016,219950,5.745192307692304,12.301155526776865,0.4561929751874638
4004,England And Wales,2017,227722,3.533530347806324,12.335880865742066,0.2822933088652668
2170,Greenwich,2007,224000,,12.319401330837177,
2350,Greenwich,2008,230000,2.678571428571419,12.345834587905333,0.21456608448975345
2530,Greenwich,2009,220000,-4.347826086956519,12.301382825334498,-0.3600547395506415
2710,Greenwich,2010,245000,11.363636363636353,12.409013489526863,0.8749476845050452
2890,Greenwich,2011,249995,2.0387755102040828,12.42919619664438,0.1626455409573957
3070,Greenwich,2012,245000,-1.9980399607992139,12.409013489526863,-0.1623814347943564
3250,Greenwich,2013,275000,12.244897959183664,12.524526376648708,0.9308788907300025
3430,Greenwich,2014,317500,15.454545454545453,12.668233097314884,1.1474024353855805
3610,Greenwich,2015,351000,10.551181102362195,12.768541502448002,0.79181054186932
3790,Greenwich,2016,395000,12.535612535612529,12.886641043883259,0.9249258532199267
3970,Greenwich,2017,420000,6.329113924050622,12.948009990259552,0.47622143091681224
2171,Hackney,2007,264000,,12.483704382128453,
2351,Hackney,2008,265000,0.37878787878788955,12.487485104968359,0.030285264086504782
2531,Hackney,2009,275000,3.7735849056603765,12.524526376648708,0.29662715405851525
2711,Hackney,2010,290500,5.636363636363639,12.579358855274103,0.43780081558713047
2891,Hackney,2011,310000,6.712564543889843,12.644327576461329,0.5164708466837808
3071,Hackney,2012,325000,4.8387096774193505,12.691580461311874,0.37370816727739786
3251,Hackney,2013,375000,15.384615384615374,12.834681304952548,1.1275257961519625
3431,Hackney,2014,430000,14.666666666666671,12.971540487669746,1.0663231868826228
3611,Hackney,2015,490000,13.953488372093027,13.102160670086809,1.0069750970690405
3791,Hackney,2016,535250,9.234693877551026,13.190489206451929,0.67415244393072
3971,Hackney,2017,530000,-0.9808500700607237,13.180632285528304,-0.0747274856098823
2172,Hammersmith and Fulham,2007,415000,,12.936033799212835,
2352,Hammersmith and Fulham,2008,435000,4.819277108433728,12.983101310070822,0.36384808194340756
2532,Hammersmith and Fulham,2009,420000,-3.4482758620689613,12.948009990259552,-0.2702845720232494
2712,Hammersmith and Fulham,2010,460000,9.523809523809534,13.038981768465277,0.7025927403065069
2892,Hammersmith and Fulham,2011,465000,1.0869565217391353,13.049792684569493,0.08291227256995715
3072,Hammersmith and Fulham,2012,490000,5.376344086021501,13.102160670086809,0.4012936203901418
3252,Hammersmith and Fulham,2013,561440,14.579591836734696,13.238260190817043,1.038756310178357
3432,Hammersmith and Fulham,2014,661000,17.732972356796807,13.401509118833824,1.2331599897849266
3612,Hammersmith and Fulham,2015,730000,10.43872919818456,13.500799813124575,0.7408918906842477
3792,Hammersmith and Fulham,2016,730000,0.0,13.500799813124575,0.0
3972,Hammersmith and Fulham,2017,777475,6.50342465753424,13.563806768177729,0.46669053630366
2173,Haringey,2007,267500,,12.496874845318198,
2353,Haringey,2008,250000,-6.542056074766355,12.429216196844383,-0.5414045456265559
