,id,Year,Borough,Frequency
299,43,2012,London,22549
300,44,2012,London,24787
301,45,2012,London,13818
302,46,2012,London,16832
303,47,2012,London,21574
304,48,2012,London,23804
305,49,2012,London,28017
306,50,2012,London,21358
307,51,2012,London,10584
308,52,2012,London,35919
309,53,2012,London,25324
310,54,2012,London,13686
311,55,2012,London,32739
312,56,2012,London,22915
313,57,2012,London,11923
314,58,2012,London,32759
315,59,2012,London,11475
316,60,2012,London,29613
317,61,2012,London,24434
318,62,2012,London,26144
319,63,2012,London,63636
320,0,2013,Barking and Dagenham,16535
321,1,2013,Barnet,23214
322,2,2013,Bexley,11914
323,3,2013,Brent,24684
324,4,2013,Bromley,19488
325,5,2013,Camden,29303
326,6,2013,Croydon,28451
327,7,2013,Ealing,26733
328,8,2013,Enfield,22355
329,9,2013,Greenwich,19742
330,10,2013,Hackney,26289
331,11,2013,Hammersmith and Fulham,19343
332,12,2013,Haringey,21475
333,13,2013,Harrow,12448
334,14,2013,Havering,15482
335,15,2013,Hillingdon,19110
336,16,2013,Hounslow,20016
337,17,2013,Islington,24686
338,18,2013,Kensington and Chelsea,18409
339,19,2013,Kingston upon Thames,9465
340,20,2013,Lambeth,33063
341,21,2013,Lewisham,22879
342,22,2013,Merton,12000
343,23,2013,Newham,28599
344,24,2013,Redbridge,20462
345,25,2013,Richmond upon Thames,10756
346,26,2013,Southwark,32266
347,27,2013,Sutton,10362
348,28,2013,Tower Hamlets,27529
349,29,2013,Waltham Forest,22640
350,30,2013,Wandsworth,23071
351,31,2013,Westminster,55722
352,32,2013,London,16535
353,33,2013,London,23214
354,34,2013,London,11914
355,35,2013,London,24684
356,36,2013,London,19488
357,37,2013,London,29303
358,38,2013,London,28451
359,39,2013,London,26733
360,40,2013,London,22355
361,41,2013,London,19742
362,42,2013,London,26289
363,43,2013,London,19343
364,44,2013,London,21475
365,45,2013,London,12448
366,46,2013,London,15482
367,47,2013,London,19110
368,48,2013,London,20016
369,49,2013,London,24686
370,50,2013,London,18409
371,51,2013,London,9465
372,52,2013,London,33063
373,53,2013,London,22879
374,54,2013,London,12000
375,55,2013,London,28599
376,56,2013,London,20462
377,57,2013,London,10756
378,58,2013,London,32266
379,59,2013,London,10362
380,60,2013,London,27529
381,61,2013,London,22640
382,62,2013,London,23071
383,63,2013,London,55722
384,0,2014,Barking and Dagenham,16228
385,1,2014,Barnet,23035
386,2,2014,Bexley,12204
387,3,2014,Brent,25211
388,4,2014,Bromley,20185
389,5,2014,Camden,27939
390,6,2014,Croydon,28347
391,7,2014,Ealing,25712
392,8,2014,Enfield,22412
393,9,2014,Greenwich,20624
394,10,2014,Hackney,25200
395,11,2014,Hammersmith and Fulham,19752
396,12,2014,Haringey,23549
