,Borough,Major Category,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812
692,Lambeth,Violence Against the Person,82,72,107,101,126,106,116,80,101,98,88,84
693,Lewisham,Burglary,200,143,127,176,174,158,156,157,151,223,198,212
694,Lewisham,Burglary,92,72,70,83,90,68,95,81,86,78,72,105
695,Lewisham,Criminal Damage,59,59,49,42,55,55,46,55,48,48,29,37
696,Lewisham,Criminal Damage,56,44,92,78,92,59,86,56,53,64,71,58
697,Lewisham,Criminal Damage,16,6,15,17,18,15,10,7,18,15,16,11
698,Lewisham,Criminal Damage,50,43,61,55,55,50,67,52,47,64,75,66
699,Lewisham,Drugs,9,13,8,6,9,9,4,30,29,16,3,6
700,Lewisham,Drugs,0,0,0,0,0,2,0,1,0,1,1,1
701,Lewisham,Drugs,99,89,69,75,106,96,88,106,85,94,113,108
702,Lewisham,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
703,Lewisham,Fraud or Forgery,8,1,3,2,3,5,3,5,8,1,4,5
704,Lewisham,Other Notifiable Offences,3,1,0,0,2,2,1,2,3,1,0,2
705,Lewisham,Other Notifiable Offences,61,32,67,34,69,54,48,44,47,46,47,37
706,Lewisham,Robbery,7,9,8,14,8,5,5,7,7,14,5,7
707,Lewisham,Robbery,79,64,86,68,88,95,78,80,58,89,92,71
708,Lewisham,Sexual Offences,34,23,43,24,40,43,44,42,35,33,39,27
709,Lewisham,Sexual Offences,24,14,20,23,37,27,29,42,27,32,25,32
710,Lewisham,Theft and Handling,3,3,2,2,2,3,7,6,5,1,2,4
711,Lewisham,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
712,Lewisham,Theft and Handling,218,206,216,207,248,197,234,206,239,266,240,235
713,Lewisham,Theft and Handling,53,36,47,28,37,44,38,55,33,44,46,50
714,Lewisham,Theft and Handling,153,99,132,153,170,139,176,152,149,178,165,192
715,Lewisham,Theft and Handling,111,93,90,97,93,91,113,112,102,88,98,95
716,Lewisham,Theft and Handling,80,89,80,73,86,76,86,83,94,113,80,73
717,Lewisham,Theft and Handling,22,24,27,22,23,35,32,31,55,44,36,25
718,Lewisham,Violence Against the Person,145,131,142,150,154,165,203,140,128,160,164,158
719,Lewisham,Violence Against the Person,200,185,205,187,209,180,235,182,188,210,181,191
720,Lewisham,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
721,Lewisham,Violence Against the Person,254,245,294,223,284,310,312,298,275,293,305,286
722,Lewisham,Violence Against the Person,0,0,1,0,0,1,0,2,0,0,1,0
723,Lewisham,Violence Against the Person,21,19,30,20,30,26,26,16,29,23,23,19
724,Lewisham,Violence Against the Person,43,36,40,29,35,40,26,30,57,51,37,47
725,Lewisham,Violence Against the Person,91,74,71,69,101,87,91,73,71,83,71,79
726,Merton,Burglary,120,122,81,82,102,99,102,99,86,133,121,129
727,Merton,Burglary,34,40,54,45,37,40,26,41,54,55,54,60
728,Merton,Criminal Damage,25,18,16,15,21,19,25,16,19,29,20,21
729,Merton,Criminal Damage,47,26,31,46,43,46,22,44,32,41,38,43
730,Merton,Criminal Damage,9,6,8,10,11,7,7,8,6,5,3,9
731,Merton,Criminal Damage,27,30,25,31,26,37,34,31,27,33,30,37
732,Merton,Drugs,2,0,3,1,2,2,2,0,1,2,2,0
733,Merton,Drugs,0,0,0,1,0,1,0,0,0,0,0,0
734,Merton,Drugs,62,42,40,42,29,33,32,29,39,39,34,37
735,Merton,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
736,Merton,Fraud or Forgery,1,5,0,3,3,3,2,0,2,2,0,3
737,Merton,Other Notifiable Offences,2,0,0,0,0,2,1,0,3,2,2,0
738,Merton,Other Notifiable Offences,23,12,30,26,48,20,28,26,21,20,22,30
739,Merton,Robbery,6,3,6,3,0,2,3,2,3,4,5,10
740,Merton,Robbery,25,24,24,28,30,33,36,24,22,24,37,35
741,Merton,Sexual Offences,22,25,16,16,15,19,32,12,23,16,28,18
742,Merton,Sexual Offences,9,6,8,10,6,2,11,6,8,21,13,10
743,Merton,Theft and Handling,2,0,0,2,2,2,1,0,4,2,1,0
744,Merton,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
745,Merton,Theft and Handling,122,114,112,124,126,128,100,142,112,122,142,135
746,Merton,Theft and Handling,30,22,15,20,17,18,29,20,12,23,16,16
747,Merton,Theft and Handling,95,94,108,75,73,89,57,81,98,113,98,92
748,Merton,Theft and Handling,90,102,95,103,103,69,64,75,62,79,84,71
749,Merton,Theft and Handling,73,48,49,41,35,49,34,49,53,54,45,41
750,Merton,Theft and Handling,34,26,18,21,55,36,26,36,35,40,35,16
751,Merton,Violence Against the Person,55,67,59,72,69,80,117,76,77,77,84,80
752,Merton,Violence Against the Person,96,88,89,91,115,77,123,107,103,94,101,129
753,Merton,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
754,Merton,Violence Against the Person,99,127,123,120,155,132,178,159,148,145,145,147
755,Merton,Violence Against the Person,0,0,0,1,1,0,0,0,0,0,0,0
756,Merton,Violence Against the Person,8,8,10,10,6,14,6,7,8,7,6,7
757,Merton,Violence Against the Person,12,4,8,16,10,17,17,22,14,19,16,14
758,Merton,Violence Against the Person,35,26,34,33,52,47,44,31,29,31,32,37
759,Newham,Burglary,179,140,144,110,133,133,136,158,123,135,179,181
760,Newham,Burglary,114,90,98,108,105,127,97,137,99,113,141,129
761,Newham,Criminal Damage,45,41,54,57,40,51,47,52,48,45,44,36
762,Newham,Criminal Damage,74,54,55,78,76,76,70,85,78,63,77,87
763,Newham,Criminal Damage,17,9,23,13,30,16,23,19,9,18,16,21
764,Newham,Criminal Damage,44,44,51,54,57,86,59,58,73,88,75,63
765,Newham,Drugs,7,15,7,10,12,4,6,15,13,23,11,10
766,Newham,Drugs,0,0,0,0,0,1,0,1,1,0,2,1
767,Newham,Drugs,164,202,179,152,147,151,148,146,160,182,148,146
768,Newham,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
769,Newham,Fraud or Forgery,1,3,5,9,9,7,7,2,5,6,6,2
770,Newham,Other Notifiable Offences,2,3,3,6,5,3,0,1,4,2,3,3
771,Newham,Other Notifiable Offences,73,55,54,59,50,59,62,54,57,67,55,49
772,Newham,Robbery,13,5,5,12,15,6,13,10,7,12,11,10
773,Newham,Robbery,180,125,151,119,118,144,126,117,150,143,151,177
774,Newham,Sexual Offences,38,33,59,46,45,43,50,34,57,40,54,41
775,Newham,Sexual Offences,35,26,44,25,28,44,43,26,49,22,41,17
776,Newham,Theft and Handling,8,5,11,7,5,3,8,9,3,7,2,6
777,Newham,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
778,Newham,Theft and Handling,376,334,304,351,385,388,410,394,398,402,422,403
779,Newham,Theft and Handling,140,197,181,170,128,170,153,148,114,159,223,175
780,Newham,Theft and Handling,282,229,294,285,262,282,266,292,229,218,241,242
781,Newham,Theft and Handling,211,162,173,240,211,188,207,178,171,208,165,185
782,Newham,Theft and Handling,139,120,127,117,119,115,108,122,108,146,128,107
783,Newham,Theft and Handling,29,28,29,34,48,60,61,78,63,73,42,24
784,Newham,Violence Against the Person,141,141,165,191,191,213,227,145,155,184,185,181
785,Newham,Violence Against the Person,252,227,278,229,271,325,325,263,273,263,257,259
786,Newham,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
787,Newham,Violence Against the Person,236,223,312,250,281,301,278,261,296,321,295,240
788,Newham,Violence Against the Person,0,1,1,1,0,0,0,0,1,0,0,0
789,Newham,Violence Against the Person,31,28,23,24,33,31,21,17,31,32,28,27
790,Newham,Violence Against the Person,63,58,64,38,64,70,58,62,69,50,55,57
791,Newham,Violence Against the Person,74,83,75,88,137,102,101,83,88,96,77,96
792,Redbridge,Burglary,338,302,160,166,187,147,131,131,148,189,230,215
793,Redbridge,Burglary,109,84,101,103,79,88,78,91,113,80,86,88
794,Redbridge,Criminal Damage,36,19,24,37,29,34,28,29,24,23,31,12
795,Redbridge,Criminal Damage,49,51,49,57,51,48,51,50,57,46,41,51
796,Redbridge,Criminal Damage,7,15,12,16,10,13,7,6,8,12,6,4
797,Redbridge,Criminal Damage,35,28,43,47,48,46,48,51,44,56,71,50
798,Redbridge,Drugs,8,5,5,8,2,6,6,5,2,5,2,2
799,Redbridge,Drugs,0,0,0,0,0,1,0,0,0,0,0,0
800,Redbridge,Drugs,48,53,70,66,53,45,37,33,49,51,53,55
801,Redbridge,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
802,Redbridge,Fraud or Forgery,2,1,2,2,2,2,2,1,4,1,1,2
803,Redbridge,Other Notifiable Offences,0,0,1,2,0,0,0,0,2,0,2,0
804,Redbridge,Other Notifiable Offences,27,35,39,29,37,33,29,31,29,42,41,36
805,Redbridge,Robbery,7,5,7,6,3,5,6,5,3,8,6,7
806,Redbridge,Robbery,98,51,67,76,70,89,111,65,103,99,87,90
807,Redbridge,Sexual Offences,33,26,19,30,32,33,27,25,20,24,23,24
808,Redbridge,Sexual Offences,16,19,11,23,22,16,19,18,18,15,30,20
809,Redbridge,Theft and Handling,3,3,1,4,4,2,3,2,1,0,0,2
810,Redbridge,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
811,Redbridge,Theft and Handling,204,203,204,201,183,198,244,193,212,222,216,217
812,Redbridge,Theft and Handling,44,74,78,65,46,60,107,43,46,73,115,71
813,Redbridge,Theft and Handling,203,170,178,201,165,174,158,189,194,206,180,178
814,Redbridge,Theft and Handling,97,79,92,100,92,78,98,77,84,101,75,87
815,Redbridge,Theft and Handling,126,117,124,122,124,127,127,115,140,176,164,90
816,Redbridge,Theft and Handling,5,3,7,11,17,13,19,25,18,30,17,17
817,Redbridge,Violence Against the Person,96,96,139,91,125,123,161,114,102,115,122,117
818,Redbridge,Violence Against the Person,200,180,171,161,186,178,196,152,159,196,187,168
819,Redbridge,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
820,Redbridge,Violence Against the Person,212,187,188,193,241,236,256,201,206,201,208,234
821,Redbridge,Violence Against the Person,2,1,0,0,0,0,0,0,0,1,1,0
822,Redbridge,Violence Against the Person,8,15,13,15,17,17,19,11,9,8,11,11
823,Redbridge,Violence Against the Person,33,29,30,34,36,28,29,36,53,52,38,32
824,Redbridge,Violence Against the Person,63,38,71,73,72,61,63,57,53,52,64,48
825,Richmond upon Thames,Burglary,113,104,100,127,103,74,79,92,103,131,170,134
826,Richmond upon Thames,Burglary,54,57,51,42,51,58,62,87,87,96,59,56
827,Richmond upon Thames,Criminal Damage,16,13,23,9,18,16,13,18,15,23,12,16
828,Richmond upon Thames,Criminal Damage,53,39,46,39,37,43,46,31,27,45,52,30
829,Richmond upon Thames,Criminal Damage,11,7,8,8,13,9,11,8,10,5,5,2
830,Richmond upon Thames,Criminal Damage,26,22,19,23,27,18,36,32,21,32,30,31
831,Richmond upon Thames,Drugs,3,1,0,0,1,1,0,1,2,0,1,0
832,Richmond upon Thames,Drugs,0,0,0,0,1,0,0,0,0,0,0,0
833,Richmond upon Thames,Drugs,21,32,31,16,30,15,20,17,21,18,21,19
834,Richmond upon Thames,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
835,Richmond upon Thames,Fraud or Forgery,2,1,1,1,2,0,0,2,0,1,0,2
836,Richmond upon Thames,Other Notifiable Offences,2,0,1,0,0,1,0,2,0,0,0,1
837,Richmond upon Thames,Other Notifiable Offences,9,13,15,13,16,26,32,19,12,20,15,12
838,Richmond upon Thames,Robbery,2,0,1,1,2,1,0,1,0,3,0,4
839,Richmond upon Thames,Robbery,22,20,16,14,21,35,48,26,19,33,47,42
840,Richmond upon Thames,Sexual Offences,9,18,18,15,22,20,17,18,21,12,22,12
841,Richmond upon Thames,Sexual Offences,3,7,6,5,6,12,8,9,7,5,2,8
842,Richmond upon Thames,Theft and Handling,1,1,1,1,1,0,0,0,0,0,0,0
843,Richmond upon Thames,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
844,Richmond upon Thames,Theft and Handling,117,103,106,82,115,85,118,110,87,120,125,99
845,Richmond upon Thames,Theft and Handling,22,22,30,15,27,19,18,12,15,21,23,14
846,Richmond upon Thames,Theft and Handling,125,125,126,109,100,111,106,112,123,121,126,108
847,Richmond upon Thames,Theft and Handling,38,38,45,46,47,43,52,45,54,55,51,31
848,Richmond upon Thames,Theft and Handling,37,25,37,45,35,33,26,49,62,55,58,44
849,Richmond upon Thames,Theft and Handling,46,46,58,62,80,103,93,76,82,81,75,42
850,Richmond upon Thames,Violence Against the Person,60,41,55,56,69,61,75,64,45,57,52,52
851,Richmond upon Thames,Violence Against the Person,67,73,59,60,97,81,106,74,50,75,86,74
852,Richmond upon Thames,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
853,Richmond upon Thames,Violence Against the Person,101,103,133,127,141,106,182,132,106,100,125,121
854,Richmond upon Thames,Violence Against the Person,0,0,1,0,0,0,0,1,0,0,1,0
855,Richmond upon Thames,Violence Against the Person,6,8,3,5,6,4,10,2,3,6,5,4
856,Richmond upon Thames,Violence Against the Person,13,8,6,5,10,8,12,15,14,10,14,14
857,Richmond upon Thames,Violence Against the Person,24,18,19,31,27,25,39,30,25,23,22,32
858,Southwark,Burglary,222,175,179,212,201,148,150,165,172,162,185,150
859,Southwark,Burglary,121,93,99,128,127,125,130,137,127,112,141,132
860,Southwark,Criminal Damage,57,37,42,57,49,53,64,54,47,46,34,26
861,Southwark,Criminal Damage,84,50,64,67,73,72,58,72,60,50,67,70
862,Southwark,Criminal Damage,29,21,24,31,17,22,22,19,18,21,23,17
863,Southwark,Criminal Damage,60,69,54,57,69,49,64,56,54,86,70,65
864,Southwark,Drugs,6,10,12,7,4,6,8,3,7,11,5,6
865,Southwark,Drugs,0,2,3,1,1,2,0,2,1,0,1,0
866,Southwark,Drugs,184,179,151,133,159,120,131,166,130,134,153,157
867,Southwark,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
868,Southwark,Fraud or Forgery,5,3,3,5,3,5,3,2,8,6,5,5
869,Southwark,Other Notifiable Offences,3,0,0,0,0,2,0,4,0,4,3,1
870,Southwark,Other Notifiable Offences,41,50,54,49,56,58,57,67,44,55,40,42
871,Southwark,Robbery,4,11,9,14,14,15,7,4,11,15,8,12
872,Southwark,Robbery,159,143,127,107,119,121,118,136,141,184,163,162
873,Southwark,Sexual Offences,41,53,52,55,36,57,65,49,36,36,44,35
874,Southwark,Sexual Offences,27,32,28,17,26,30,31,32,26,38,36,23
875,Southwark,Theft and Handling,10,7,6,4,5,8,1,1,1,3,3,3
876,Southwark,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
877,Southwark,Theft and Handling,370,362,428,450,447,458,514,491,471,555,477,499
878,Southwark,Theft and Handling,134,119,145,153,125,138,166,151,175,246,266,256
879,Southwark,Theft and Handling,167,149,145,172,174,211,204,195,196,192,239,211
880,Southwark,Theft and Handling,99,102,129,120,156,110,145,112,125,127,119,97
881,Southwark,Theft and Handling,82,75,77,78,77,82,114,82,105,97,92,58
882,Southwark,Theft and Handling,94,54,60,100,84,124,155,171,165,143,95,60
883,Southwark,Violence Against the Person,165,156,165,203,218,203,208,191,148,185,156,157
884,Southwark,Violence Against the Person,245,230,223,244,277,240,286,228,237,228,247,230
885,Southwark,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
886,Southwark,Violence Against the Person,249,219,276,279,290,305,402,307,328,328,292,276
887,Southwark,Violence Against the Person,0,2,0,0,1,1,2,2,0,1,1,0
888,Southwark,Violence Against the Person,36,27,30,41,42,43,40,45,23,32,29,29
889,Southwark,Violence Against the Person,46,34,50,51,46,32,64,45,35,41,59,46
890,Southwark,Violence Against the Person,99,71,105,108,122,129,123,74,68,85,90,74
891,Sutton,Burglary,101,92,62,61,66,48,66,83,86,100,110,85
892,Sutton,Burglary,57,49,43,50,32,46,28,41,32,53,38,57
893,Sutton,Criminal Damage,15,13,18,28,16,12,30,12,18,17,9,21
894,Sutton,Criminal Damage,50,41,46,52,40,50,49,49,32,33,46,53
895,Sutton,Criminal Damage,7,5,11,10,5,12,6,7,5,4,11,2
896,Sutton,Criminal Damage,19,17,27,25,22,34,46,24,23,41,32,37
897,Sutton,Drugs,1,3,4,2,1,1,1,1,5,0,0,0
898,Sutton,Drugs,2,1,1,0,0,1,0,0,1,0,0,0
899,Sutton,Drugs,46,28,27,32,32,24,23,18,20,20,22,30
900,Sutton,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
901,Sutton,Fraud or Forgery,1,0,0,0,0,1,3,0,0,1,0,0
902,Sutton,Other Notifiable Offences,1,0,2,0,0,1,0,1,0,1,0,1
903,Sutton,Other Notifiable Offences,20,19,23,21,47,26,26,17,17,21,18,25
904,Sutton,Robbery,2,4,3,3,1,6,2,2,0,2,3,5
905,Sutton,Robbery,43,25,17,41,11,26,20,22,19,24,14,27
906,Sutton,Sexual Offences,16,11,14,17,14,18,22,12,17,20,15,10
907,Sutton,Sexual Offences,11,8,13,7,10,12,14,11,18,6,14,10
908,Sutton,Theft and Handling,0,2,1,3,1,1,2,1,1,2,3,0
909,Sutton,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
910,Sutton,Theft and Handling,99,92,110,94,88,108,120,96,92,111,116,114
911,Sutton,Theft and Handling,15,18,14,6,7,14,20,19,15,13,16,16
912,Sutton,Theft and Handling,105,85,118,67,76,62,69,80,77,89,79,96
913,Sutton,Theft and Handling,73,64,48,51,79,50,70,73,67,72,74,58
914,Sutton,Theft and Handling,56,28,37,34,37,25,24,28,20,40,39,30
915,Sutton,Theft and Handling,8,8,6,9,8,14,13,13,12,14,5,15
916,Sutton,Violence Against the Person,59,67,80,92,64,91,95,76,86,66,81,97
917,Sutton,Violence Against the Person,85,64,91,86,110,105,92,96,123,104,94,106
918,Sutton,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
919,Sutton,Violence Against the Person,123,105,114,119,136,190,163,170,135,146,125,124
920,Sutton,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
921,Sutton,Violence Against the Person,6,11,9,8,14,12,14,7,6,6,5,4
922,Sutton,Violence Against the Person,10,13,6,8,17,15,13,9,11,16,15,22
923,Sutton,Violence Against the Person,26,25,24,31,28,35,53,31,27,34,33,43
924,Tower Hamlets,Burglary,235,188,235,212,197,169,161,178,162,180,239,176
925,Tower Hamlets,Burglary,103,85,132,102,118,129,136,134,94,119,115,126
926,Tower Hamlets,Criminal Damage,56,44,40,56,41,40,42,40,52,27,42,36
927,Tower Hamlets,Criminal Damage,59,46,54,64,73,66,93,70,52,52,51,51
928,Tower Hamlets,Criminal Damage,17,21,19,17,22,18,20,19,20,13,12,13
929,Tower Hamlets,Criminal Damage,64,47,48,54,54,55,67,59,54,72,71,56
930,Tower Hamlets,Drugs,10,4,10,8,2,43,14,9,3,9,8,5
931,Tower Hamlets,Drugs,1,0,1,0,1,0,3,1,4,1,0,1
932,Tower Hamlets,Drugs,135,112,133,167,142,132,153,187,201,195,199,203
933,Tower Hamlets,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
934,Tower Hamlets,Fraud or Forgery,4,5,5,1,6,1,9,3,1,3,5,3
935,Tower Hamlets,Other Notifiable Offences,3,1,1,3,2,4,3,5,8,2,2,0
936,Tower Hamlets,Other Notifiable Offences,46,58,62,62,67,62,81,55,61,71,65,51
937,Tower Hamlets,Robbery,7,3,6,9,3,11,4,7,9,6,5,7
938,Tower Hamlets,Robbery,172,98,117,142,71,133,137,131,110,109,113,139
939,Tower Hamlets,Sexual Offences,54,31,39,31,36,40,45,35,45,40,40,35
940,Tower Hamlets,Sexual Offences,18,30,14,21,32,34,30,23,34,30,26,29
941,Tower Hamlets,Theft and Handling,7,1,2,8,4,3,1,1,2,3,5,1
942,Tower Hamlets,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
943,Tower Hamlets,Theft and Handling,338,308,294,375,392,322,390,346,331,422,368,352
944,Tower Hamlets,Theft and Handling,101,135,141,153,120,163,144,169,141,181,155,160
945,Tower Hamlets,Theft and Handling,159,132,160,152,165,206,196,179,189,197,162,202
946,Tower Hamlets,Theft and Handling,92,81,93,94,114,93,81,98,84,82,87,69
947,Tower Hamlets,Theft and Handling,81,63,82,51,99,119,110,127,102,102,69,68
948,Tower Hamlets,Theft and Handling,64,65,86,102,155,134,189,148,172,157,110,64
949,Tower Hamlets,Violence Against the Person,146,84,160,141,155,206,169,147,169,141,168,166
950,Tower Hamlets,Violence Against the Person,237,211,248,225,271,289,316,233,229,229,267,237
951,Tower Hamlets,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
952,Tower Hamlets,Violence Against the Person,301,282,351,374,365,353,384,342,364,311,345,309
953,Tower Hamlets,Violence Against the Person,0,0,0,1,0,0,0,0,0,1,0,1
954,Tower Hamlets,Violence Against the Person,32,23,32,27,29,26,33,30,30,16,30,16
955,Tower Hamlets,Violence Against the Person,33,44,34,30,40,32,35,41,27,42,40,29
956,Tower Hamlets,Violence Against the Person,74,65,89,97,100,116,98,73,88,104,85,75
957,Waltham Forest,Burglary,173,169,154,131,118,124,123,143,125,114,188,171
958,Waltham Forest,Burglary,59,67,68,84,64,93,87,114,87,111,75,70
959,Waltham Forest,Criminal Damage,30,27,38,34,31,30,33,25,29,28,34,30
960,Waltham Forest,Criminal Damage,59,50,49,43,50,56,40,61,42,39,49,56
961,Waltham Forest,Criminal Damage,11,15,11,9,8,15,15,13,10,11,15,9
962,Waltham Forest,Criminal Damage,45,26,41,51,40,49,49,45,34,54,61,71
963,Waltham Forest,Drugs,5,4,10,6,12,4,9,7,4,14,4,10
964,Waltham Forest,Drugs,0,0,2,0,0,0,0,0,0,1,0,0
965,Waltham Forest,Drugs,85,71,67,113,101,71,80,71,89,118,103,96
966,Waltham Forest,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
967,Waltham Forest,Fraud or Forgery,0,2,5,2,3,4,4,3,4,2,1,3
968,Waltham Forest,Other Notifiable Offences,1,2,3,2,1,2,0,0,2,1,0,0
969,Waltham Forest,Other Notifiable Offences,35,27,40,45,47,38,42,34,45,48,44,34
970,Waltham Forest,Robbery,8,7,4,4,9,3,8,4,5,5,8,5
971,Waltham Forest,Robbery,80,81,88,85,86,78,91,60,63,69,66,59
972,Waltham Forest,Sexual Offences,25,29,27,24,23,29,22,25,24,29,34,18
973,Waltham Forest,Sexual Offences,15,26,17,13,32,14,18,11,12,14,14,16
974,Waltham Forest,Theft and Handling,3,2,3,3,4,2,2,4,3,4,1,2
975,Waltham Forest,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
976,Waltham Forest,Theft and Handling,237,220,245,223,240,221,226,230,228,287,236,233
977,Waltham Forest,Theft and Handling,57,90,103,71,68,69,78,50,54,83,92,80
978,Waltham Forest,Theft and Handling,125,137,143,151,162,179,193,243,260,248,200,207
979,Waltham Forest,Theft and Handling,106,82,77,74,73,70,71,67,80,76,82,46
980,Waltham Forest,Theft and Handling,106,89,100,72,75,78,90,80,98,117,82,91
981,Waltham Forest,Theft and Handling,17,19,11,18,30,36,49,57,63,43,43,27
982,Waltham Forest,Violence Against the Person,128,104,110,116,113,140,124,127,135,125,139,125
983,Waltham Forest,Violence Against the Person,183,162,219,136,186,145,180,164,182,177,180,191
984,Waltham Forest,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
985,Waltham Forest,Violence Against the Person,210,204,221,206,255,230,254,225,242,250,225,215
986,Waltham Forest,Violence Against the Person,0,1,2,1,0,0,1,1,1,0,0,0
987,Waltham Forest,Violence Against the Person,21,20,12,23,28,21,15,13,16,16,14,13
988,Waltham Forest,Violence Against the Person,22,23,40,45,33,61,43,23,30,38,31,31
989,Waltham Forest,Violence Against the Person,58,63,47,72,71,53,86,64,61,56,55,47
990,Wandsworth,Burglary,194,185,157,181,151,205,182,168,166,174,207,168
991,Wandsworth,Burglary,124,114,109,98,86,91,94,89,124,113,88,82
992,Wandsworth,Criminal Damage,40,27,44,35,37,27,24,29,34,39,24,19
993,Wandsworth,Criminal Damage,56,59,68,53,59,66,55,39,47,48,45,61
994,Wandsworth,Criminal Damage,21,24,14,17,13,10,15,14,12,8,12,15
995,Wandsworth,Criminal Damage,48,39,39,52,51,45,55,43,40,54,62,45
996,Wandsworth,Drugs,8,6,9,5,5,6,10,5,4,2,3,3
997,Wandsworth,Drugs,0,0,0,0,0,0,0,1,2,0,0,0
998,Wandsworth,Drugs,48,40,46,53,57,50,51,54,60,51,59,59
999,Wandsworth,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
1000,Wandsworth,Fraud or Forgery,2,1,4,5,5,4,2,6,4,5,2,2
1001,Wandsworth,Other Notifiable Offences,0,2,1,2,2,0,0,3,3,2,1,0
1002,Wandsworth,Other Notifiable Offences,31,30,38,42,56,51,69,38,44,41,49,42
1003,Wandsworth,Robbery,7,9,7,7,5,5,6,11,2,7,7,7
1004,Wandsworth,Robbery,65,69,65,62,51,78,98,42,63,63,72,55
1005,Wandsworth,Sexual Offences,29,31,40,42,48,45,54,28,33,48,25,29
1006,Wandsworth,Sexual Offences,24,24,22,15,23,25,30,17,25,21,17,15
1007,Wandsworth,Theft and Handling,4,4,2,1,3,2,2,1,4,3,1,3
1008,Wandsworth,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
1009,Wandsworth,Theft and Handling,238,263,272,275,299,245,277,266,235,256,243,284
1010,Wandsworth,Theft and Handling,56,86,62,56,61,56,81,50,49,58,71,67
1011,Wandsworth,Theft and Handling,249,237,200,145,193,168,174,193,218,200,200,161
1012,Wandsworth,Theft and Handling,104,125,125,146,121,133,112,122,85,92,87,80
1013,Wandsworth,Theft and Handling,112,113,70,77,86,104,103,80,89,94,75,89
1014,Wandsworth,Theft and Handling,65,54,35,58,103,119,112,84,99,129,85,39
1015,Wandsworth,Violence Against the Person,143,115,124,149,166,155,171,125,140,150,118,116
1016,Wandsworth,Violence Against the Person,204,145,207,188,208,208,260,197,168,171,206,185
1017,Wandsworth,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
1018,Wandsworth,Violence Against the Person,195,183,207,227,256,251,320,225,249,236,264,196
1019,Wandsworth,Violence Against the Person,0,0,1,1,0,0,0,1,0,1,2,0
1020,Wandsworth,Violence Against the Person,15,11,18,10,23,15,21,13,24,9,18,12
1021,Wandsworth,Violence Against the Person,27,20,22,34,35,44,29,36,22,26,39,41
1022,Wandsworth,Violence Against the Person,61,65,66,65,62,75,68,60,55,52,66,58
1023,Westminster,Burglary,199,139,127,138,146,128,158,141,159,169,139,154
1024,Westminster,Burglary,265,237,221,237,244,274,296,260,211,249,240,234
1025,Westminster,Criminal Damage,30,28,31,23,28,33,33,22,26,32,24,30
1026,Westminster,Criminal Damage,49,51,68,78,48,73,74,58,70,66,63,58
1027,Westminster,Criminal Damage,33,27,42,26,31,42,34,33,21,29,37,37
1028,Westminster,Criminal Damage,67,46,47,57,75,70,65,68,63,82,103,83
1029,Westminster,Drugs,5,6,6,4,6,6,8,7,3,5,13,3
1030,Westminster,Drugs,0,0,1,0,0,0,2,6,0,1,3,0
1031,Westminster,Drugs,152,119,106,129,156,106,106,407,98,100,158,172
1032,Westminster,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
1033,Westminster,Fraud or Forgery,5,6,2,7,5,3,2,5,7,5,15,15
1034,Westminster,Other Notifiable Offences,5,1,1,2,6,5,3,4,4,2,2,1
1035,Westminster,Other Notifiable Offences,51,59,57,56,55,68,85,61,55,77,71,68
1036,Westminster,Robbery,8,11,7,14,12,9,6,13,11,20,14,10
