,Borough,Major Category,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812
201,Croydon,Criminal Damage,105,95,79,76,88,79,85,76,82,83,72,78
202,Croydon,Criminal Damage,16,19,18,22,15,11,15,16,8,16,15,16
203,Croydon,Criminal Damage,61,58,61,63,76,69,75,74,66,79,78,76
204,Croydon,Drugs,13,10,10,7,4,12,8,8,5,9,1,8
205,Croydon,Drugs,1,0,0,3,2,1,1,1,0,2,2,0
206,Croydon,Drugs,143,115,138,141,101,78,87,115,157,183,131,164
207,Croydon,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
208,Croydon,Fraud or Forgery,1,2,3,5,3,2,0,3,5,3,4,0
209,Croydon,Other Notifiable Offences,0,1,1,0,1,2,0,2,2,0,1,0
210,Croydon,Other Notifiable Offences,55,59,63,62,58,59,56,47,55,62,51,56
211,Croydon,Robbery,4,12,9,5,8,10,8,11,4,4,13,4
212,Croydon,Robbery,98,89,69,80,96,78,97,86,82,93,71,70
213,Croydon,Sexual Offences,28,46,44,37,58,33,49,38,47,54,44,43
214,Croydon,Sexual Offences,32,25,30,42,35,30,47,39,42,41,57,24
215,Croydon,Theft and Handling,4,5,4,4,5,4,1,4,4,6,3,6
216,Croydon,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
217,Croydon,Theft and Handling,304,270,300,280,309,293,356,322,293,278,285,256
218,Croydon,Theft and Handling,52,41,45,38,51,51,50,35,37,58,50,46
219,Croydon,Theft and Handling,213,182,165,154,186,141,219,228,243,270,273,252
220,Croydon,Theft and Handling,132,116,120,124,121,130,114,99,102,112,117,112
221,Croydon,Theft and Handling,101,87,104,90,101,86,85,105,84,132,91,77
222,Croydon,Theft and Handling,14,7,13,21,24,23,27,23,36,30,14,20
223,Croydon,Violence Against the Person,191,145,214,199,230,199,226,179,176,201,194,195
224,Croydon,Violence Against the Person,231,240,268,251,260,249,273,232,234,256,226,285
225,Croydon,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
226,Croydon,Violence Against the Person,268,286,308,309,308,326,339,328,293,307,292,300
227,Croydon,Violence Against the Person,0,1,1,0,0,0,0,0,0,0,0,0
228,Croydon,Violence Against the Person,26,25,29,42,32,31,28,15,23,27,30,37
229,Croydon,Violence Against the Person,46,58,43,49,63,33,35,43,41,50,47,56
230,Croydon,Violence Against the Person,85,76,88,94,108,101,91,74,74,90,83,99
231,Ealing,Burglary,184,145,156,162,160,173,152,165,145,173,228,172
232,Ealing,Burglary,66,83,97,96,96,78,68,67,88,100,75,90
233,Ealing,Criminal Damage,43,28,41,46,38,32,44,34,38,43,36,33
234,Ealing,Criminal Damage,99,75,91,85,82,48,83,67,74,62,74,84
235,Ealing,Criminal Damage,23,14,17,11,10,11,15,9,11,14,16,18
236,Ealing,Criminal Damage,54,34,54,56,48,62,65,46,61,65,62,43
237,Ealing,Drugs,3,11,7,8,8,6,8,1,4,9,8,5
238,Ealing,Drugs,1,1,0,0,1,3,2,1,2,1,1,1
239,Ealing,Drugs,122,60,68,84,92,90,65,72,85,93,119,92
240,Ealing,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
241,Ealing,Fraud or Forgery,3,6,2,3,4,0,4,3,6,0,8,7
242,Ealing,Other Notifiable Offences,1,5,2,1,1,3,0,1,4,0,0,1
243,Ealing,Other Notifiable Offences,38,47,69,46,52,51,65,60,63,73,61,42
244,Ealing,Robbery,5,4,3,4,7,7,3,3,1,7,4,5
245,Ealing,Robbery,55,63,53,55,55,84,81,79,62,68,72,78
246,Ealing,Sexual Offences,38,23,32,35,36,50,30,28,38,43,45,33
247,Ealing,Sexual Offences,18,21,16,16,32,18,33,25,11,26,26,24
248,Ealing,Theft and Handling,1,0,5,5,4,2,0,5,2,2,3,1
249,Ealing,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
250,Ealing,Theft and Handling,277,245,242,265,282,293,312,264,303,321,321,259
251,Ealing,Theft and Handling,45,57,55,66,44,48,74,55,46,52,79,52
252,Ealing,Theft and Handling,149,193,180,191,224,190,171,187,255,227,317,233
253,Ealing,Theft and Handling,114,100,121,116,104,98,102,116,95,126,98,79
254,Ealing,Theft and Handling,124,111,133,99,79,66,78,97,91,130,125,94
255,Ealing,Theft and Handling,26,28,37,36,56,50,79,61,67,62,31,21
256,Ealing,Violence Against the Person,149,137,164,143,184,161,184,169,174,167,174,182
257,Ealing,Violence Against the Person,247,225,242,235,246,242,296,256,230,241,244,232
258,Ealing,Violence Against the Person,0,0,0,0,0,0,0,0,0,0,0,0
259,Ealing,Violence Against the Person,262,258,258,276,353,300,325,273,309,291,243,282
260,Ealing,Violence Against the Person,0,1,1,0,0,0,0,0,0,0,0,0
261,Ealing,Violence Against the Person,23,11,13,21,16,11,17,19,9,20,18,15
262,Ealing,Violence Against the Person,44,33,32,22,21,27,52,29,28,57,44,37
263,Ealing,Violence Against the Person,86,54,89,100,81,84,94,73,110,71,58,68
264,Enfield,Burglary,228,230,187,201,197,186,163,180,143,235,272,224
265,Enfield,Burglary,103,91,121,105,99,100,92,128,140,109,125,135
266,Enfield,Criminal Damage,48,33,40,41,25,36,49,45,35,27,28,34
267,Enfield,Criminal Damage,68,83,95,82,98,83,64,77,67,70,65,71
268,Enfield,Criminal Damage,11,14,12,12,13,13,16,11,12,8,10,9
269,Enfield,Criminal Damage,63,37,45,63,52,55,60,62,70,79,59,63
270,Enfield,Drugs,10,7,6,4,9,12,6,4,7,12,5,6
271,Enfield,Drugs,1,0,0,1,1,0,0,0,0,0,0,0
272,Enfield,Drugs,59,44,74,77,116,65,47,66,62,68,62,83
273,Enfield,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
274,Enfield,Fraud or Forgery,4,2,2,1,4,4,3,3,10,3,2,7
275,Enfield,Other Notifiable Offences,0,0,1,1,1,0,1,4,1,1,1,1
276,Enfield,Other Notifiable Offences,36,48,63,53,59,52,61,53,47,46,64,35
277,Enfield,Robbery,7,3,6,6,5,11,6,4,4,5,9,8
278,Enfield,Robbery,76,93,135,109,105,88,83,92,104,85,123,68
279,Enfield,Sexual Offences,22,35,44,33,50,36,30,24,45,39,28,30
280,Enfield,Sexual Offences,31,31,14,16,33,23,17,16,23,15,23,20
281,Enfield,Theft and Handling,2,1,3,4,4,2,2,3,2,2,2,1
282,Enfield,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
283,Enfield,Theft and Handling,237,241,231,230,283,253,263,233,226,279,246,262
